MeetID,MeetPath,Date,MeetCountry,MeetState,MeetTown,MeetName
0,365strong/1601,29/10/2016,USA,NC,Charlotte,2016 Junior & Senior National Powerlifting Championships
1,365strong/1602,19/11/2016,USA,MO,Ozark,Thanksgiving Powerlifting Classic
2,365strong/1603,09/07/2016,USA,NC,Charlotte,Charlotte Europa Games
3,365strong/1604,11/06/2016,USA,SC,Rock Hill,Carolina Cup Push Pull Challenge
4,365strong/1605,10/04/2016,USA,SC,Rock Hill,Eastern USA Challenge
5,365strong/1701,22/04/2017,USA,NC,Charlotte,Charlotte Europa Games
6,365strong/1702,21/01/2017,USA,GA,Martinez,New Year Challenge
7,365strong/1703,10/06/2017,USA,MO,Lake Ozark,Midwest Regionals
8,365strong/1704,15/07/2017,USA,SC,Rock Hill,Victory Cup Challenge
9,365strong/1705,12/08/2017,USA,NC,Fayetteville,Eastern Regional Championship
10,365strong/1706,30/09/2017,USA,IN,Evansville,Ohio Valley Regional Open Powerlifting Championships
11,365strong/1707,30/09/2017,USA,IN,Evansville,US Masters Open
12,365strong/1708,28/10/2017,USA,NC,Charlotte,2017 Men & Women National Powerlifting Championships
13,365strong/1709,09/12/2017,USA,SC,Conway,East Coast Conflict
14,aau/1601,09/07/2016,USA,CA,San Jose,Kindred NorCal Powerlifting Championships
15,aau/1602,23/09/2016,USA,NV,Las Vegas,2016 AAU Worlds
16,aau/1701,25/02/2017,USA,CA,San Diego,So Cal Meet
17,aau/1702,20/05/2017,USA,CA,Los Angeles,Battle of Los Angeles
18,aau/1703,11/02/2017,USA,CA,Santa Barbara,Central California Meet
19,aau/1704,18/03/2017,USA,CA,Santa Clara,American Meet
20,aau/1705,21/01/2017,USA,NV,Las Vegas,Sin City Powerlifting
21,adfpa/9501,15/07/1995,USA,PA,Wilkes-Barre,Men's Nationals
22,apa/1001,13/11/2010,USA,FL,,Ironfest Challenge
23,apa/1002,17/04/2010,USA,,,Raw Nationals
24,apa/1401,04/10/2014,USA,OR,Portland,Elite Fall Classic
25,apa/1601,30/01/2016,USA,OR,Portland,APA Winter Classic
26,apa/1602,16/04/2016,USA,OR,Clackamas,Elite Spring Challenge District 7 Regionals
27,apa/1701,21/01/2017,USA,AK,Searcy,Rhino Open Championships
28,apa/1702,05/08/2017,USA,MI,Metamora,Michigan Summer Iron Bash
29,apa/1703,29/07/2017,USA,AL,Tuscaloosa,Raw Wars III
30,apa/1704,22/07/2017,USA,MO,Ellisville,Missouri Raw Summer Iron Bash
31,apa/1705,15/07/2017,USA,TX,El Paso,Lone Star Raw Championships
32,apa/1706,20/05/2017,USA,OH,Lebanon,Raw Nationals
33,apa/1707,08/07/2017,USA,AR,Newport,Southern States
34,apa/1708,17/06/2017,USA,NJ,Hillsborough,Garden State Raw Championships
35,apa/1709,10/06/2017,USA,AR,Harrison,Clash of the Iron Warriors
36,apa/1710,20/05/2017,USA,FL,Largo,Blessed Iron Bash
37,apa/1711,13/05/2017,USA,MS,Philadelphia,Mississippi State Championships
38,apa/1712,13/05/2017,USA,VT,Brattleboro,30th Can-Am International Championships
39,apa/1713,15/04/2017,USA,TX,McAllen,Region 6 Championships
40,apa/1714,01/04/2017,USA,TX,El Paso,Sun City Championships
41,apa/1715,18/02/2017,USA,AR,Harrison,Arkansas Raw Championships
42,apa/1716,19/08/2017,USA,AR,Conway,Battle of the Badasses
43,apa/1717,02/09/2017,USA,MO,Leadington,Ozark Open
44,apa/1718,22/04/2017,USA,MO,Jackson,ShowMe State Raw Championships
45,apa/1719,25/03/2017,USA,UT,St. George,Utah Open Raw Championships
46,apa/1720,21/01/2017,USA,FL,Largo,Thunderbay Throwdown
47,apa/1721,07/10/2017,USA,TX,Weslaco,US Open
